State,Compulsory Attendance,Testing Requirements,Required Subjects,Other Requirements
Missouri,Ages 7-17,None required.,"Must offer 1,000 hours of instruction during the school year, with at least 600 hours in the basics, which will be in reading, language arts, mathematics, social studies, and science. At least 400 of the 600 hours shall occur in the home location.","Notification of homeschooling is requested but not mandated. “A parent who is homeschooling a child must maintain the following records: a plan book, diary, daily log, or other written record indicating the subjects taught and the activities engaged in with the student; a portfolio containing samples of the student’s academic work; and a record of evaluation of the student’s academic progress.”"
Montana,Ages 7-16,None required,“Students must be given a study course that involves instruction in the subjects required of public schools”,"Students must be enrolled and registered within the first week of the school term. Must maintain and provide attendance and immunization records, must school a minimum number of hours, must notify the local DOE superintendent."
Nebraska,Ages 6-16,“the Department may deem it necessary to conduct regular achievement testing.”,"Must teach language arts, mathematics, science, social studies, and health","Considered exempt schools. Must register all students annually with identification, affidavit of intent to homeschool, and curriculum summary. Must school a minimum number of hours. Immunization requirements: “Each exempt school that is not exempt for religious reasons shall require each student to be immunized against measles, mumps, rubella, poliomyelitis, diphtheria, pertussis, and tetanus prior to enrollment. On and after July 1, 2010, every student entering the seventh grade shall have a booster immunization containing diphtheria and tetanus toxoids and an acellular pertussis vaccine.”"
Nevada,Ages 7-18,None required.,"“English (including reading, composition, and writing), mathematics, science and social studies (including history geography, economics and government) as appropriate for the age and skill level of the child as the parent determines.”","File a notice of intent to homeschool with the Nevada standard form before beginning to homeschool, and compose an educational plan."
New Hampshire,Ages 6-18,"Annual evaluation (several options, but it’s either testing or evaluation by a certified official).","“Science, mathematics, language, government, history, health, reading, writing, spelling, the history of the constitutions of New Hampshire and the United States, and an exposure to and appreciation of art and music.”",Must submit written notification and identification to register with the commissioner of the department of education or resident district superintendent. Must keep a portfolio.
New Jersey,Ages 6-16,None required.,Academically equivalent to that provided in the local public school.,"Can get a NJ state high school diploma by passing the GED, “or by completing 30 general education credits leading to a degree at an accredited institution of higher education and meeting current state assessment graduation requirements”"
New Mexico,Ages 5-18,None required.,"“basic academic educational program, including reading, language arts, mathematics, social studies, and science”","Notify the state each year. Keep track of attendance (180 days), must have a diploma or GED, and keep immunization records."
New York,Ages 6-16,Annually only for high school,"“Required courses for grades one through six are arithmetic, reading, spelling, writing, the English language, geography, United States history, science, health education, music, visual arts, physical education, and bilingual education and/or English as a second language where the need is indicated. Required courses for grades seven and eight are English, history, geography, science, mathematics, physical education, health education, art, music, practical arts, and library skills. Required courses for grades nine through 12 are English; social studies, including American history, government, and economics; mathematics; science; art and/or music; health education; physical education; and three electives.”","Submit letter of intent by July 1st annually, and a homeschool plan. Must school 180 days and send in quarterly reports as well as an annual assessment with the fourth quarter report. “If a child’s annual assessment does not comply with the requirements of 8 CCR-NY 100.10 (h), the home instruction program will be put on probation and the parent must submit a remediation plan.”"
North Carolina,Ages 7-16,"“Students attending a home school must be tested academically once each year through a nationally standardized test or other nationally standardized equivalent measurement. The test must measure achievement in English grammar, reading, spelling, and mathematics for students and verbal and quantitative areas for grade 11 students.”",Equivalent to public school.,"Must hold a high school diploma, file an intent to homeschool, must operate 9 months a year, keep attendance and immunization records."
North Dakota,Ages 7-16,"“A student receiving home education must take the standardized test used by the school district in which the student resides in grades four, six, eight, and ten”",Equivalent to public school.,"Must have a high school diploma, must notify annually with identification, education plan, and immunization records. Must keep attendance (175 days, minimum of 4 hours per day). Must maintain an annual record of student courses and assessments. Homeschooling parents must have a high school diploma/equivalent or be monitored by a certified teacher for 2 years. High school students may qualify for a state-approved diploma if they meet the graduation requirements with documentation."
Ohio,Ages 6-18,Annual assessment or submit a portfolio,"Equivalent to public school. “Language, reading, spelling, and writing; geography, history of the United States and Ohio; and national, state, and local government; mathematics; science; health; physical education; fine arts, including music; and first aid, safety, and fire prevention.”","Parents must have high school diploma/equivalent, notify superintendent, and school 900 hours per year. “If the annual academic assessment indicates that the child is not demonstrating reasonable proficiency, the parent will be required to develop a plan of remediation and submit a quarterly report of the child’s progress to the superintendent.”"
Oklahoma,Ages 5-18,None,None,“No state policy currently exists.”
Oregon,Ages 6-18,"At the the end of grades 3, 5, 8, and 10.",,"Notify local school district when beginning to homeschool with identification and receive acknowledgment in writing. Notification only required initially, not annually."
Pennsylvania,Ages 8-17,"Annual written evaluation, portfolio assessment in grades 3, 5, and 8 or the results of a standardized test.","Language arts, arithmetic, science, geography, history of the U.S., civics, safety education including fire prevention, health,physical education, music and art.","Must file an affidavit with identification of students and immunization records, documentation is due by August 1st annually, must have 180 days of instruction, must keep a portfolio. Homeschool instructor must have a high school diploma/equivalent."
Rhode Island,Ages 6-18,“The parent and the local school committee must agree on a method of evaluating the student’s progress in all required subjects.”,"“State law requires the instruction be in English and the curriculum to include: reading, writing, geography, arithmetic, history of the United States, history of Rhode Island, principles of American Government, health and physical education. Also, beginning with fourth grade, history and government of Rhode Island must be taught. In high school, the U.S. Constitution and Rhode Island Constitution must be taught.”","Seek approval from local district, keep attendance records, and school 180 days with a minimum of 5.5 hours per day."
South Carolina,Ages 5-17,Required annual testing.,"“the curriculum must include but not be limited to the basic instructional areas of reading, writing, mathematics, science, and social studies, and in grades seven through 12, composition and literature; and d) education records must be maintained by the parent-teacher.”","Must receive approval from the district board of trustees to homeschool. Parent must have a high school diploma/equivalent. Must keep attendance for at least 180 days, 4.5 hours per day. Parents must keep a portfolio of records."
South Dakota,Up to 18,No standardized testing requirements.,“The instruction must be given with the aim of mastery of the English language.”,Must file exemption only when beginning to homeschool.
Tennessee,Ages 6-17,"“Independent homeschool students are required to take the same State Board approved secure standardized tests required of public school students in grades five, seven, and nine, except that the high school proficiency test is not required of ninth graders who are home schooled.”",,"Provide annual notice with identification of the students, curriculum plan, proposed hours of instruction, and parent qualifications. Parents must have a high school diploma/equivalent. Must have attendance of 180 days, 4 hours per day. Attendance records must be submitted at the end of the year."
Texas,Ages 6-18,None.,"“Homeschool curriculum must be designed to meet a minimum of basic education goals including reading, spelling, grammar, mathematics, and a study of good citizenship.”",Texas does not have any homeschooling laws or require parents to register or report.
Utah,Ages 6-18,"May participate, but testing is not required.",No required coursework or evaluations.,Must submit a notarized affidavit of intent to homeschool. “Home school students will receive a certificate from the local school board excusing their attendance from the public schools during the time specified on the certificate.”
Virginia,Ages 5-18,Annually with options. Results of either academic testing or an official evaluation by a certified teacher/equivalent must be submitted by August 1st. Students at least 16 are permitted to take the GED test to earn a state-approved high school certificate or diploma.,Equivalent to public school.,Annually submit intent to homeschool before August 15th and a description of curriculum to be used. Must ensure the state immunization requirements for public schooled students are being met. Parents must have a high school diploma/equivalent.
Vermont,Ages 6-16,"“An annual assessment is required. Several options are open to parents, including assessment by a Vermont licensed teacher, complete results of a standardized achievement test, or a report by the instructor accompanied by a portfolio of the child’s work.”","“Home study programs in Vermont must provide a minimum course of study in the following fields: basic communication, including reading, writing, and the use of numbers; citizenship, history, and government in Vermont and the United States; physical education and comprehensive health education; English, American, and other literature; the natural sciences; and the fine arts.”","Considered “home study.” Annual written enrollment sent to the secretary with student identification, assessment of the previous year’s progress, & a description of the curriculum plan."
Washington,Ages 8-18,Annual standardized testing or assessment of progress by a certified teacher.,"“curriculum and instruction in the basic skills of occupational education, science, mathematics, language, social studies, history, health, reading, writing, and spelling, and the development of an appreciation of art and music.”","Parent must meet qualifications, must submit annual declaration of intent by September 15th. Attendance must meet at least “1,000 hours in grades one through 12.” To qualify, parents must have “earned either 45 college-level credit hours awarded in quarters or its equivalent in semester hours, or has completed a course in home-based instruction at a postsecondary institution or vocational-technical institute”"
Wisconsin,Ages 6-18,Not required.,"“sequentially progressive curriculum of fundamental instruction in reading, language arts, mathematics, social studies, science, and health for at least 875 hours each year.”",Must provide notice of home school enrollment by October 15th annually.
West Virginia,Ages 6-16,"Assessments (portfolio or testing) must be done yearly, results kept in your files for 3 years and only submitted to the county board of education for 3,5,8, and 11th grades.",,"Must submit a one-time notice of intent to homeschool per child, with an education plan, instruction must be equal to the term of the county, parent must have a high school diploma. Must be approved before beginning."
Wyoming,Ages 7-16,Permitted to participate in standardized testing but not required.,"‘Home-based educational programs shall provide for “a sequentially progressive curriculum of fundamental instruction in reading, writing, mathematics, civics, history, literature, and science.”‘",Annually must submit a curriculum plan meeting the instruction requirements to the local board of trustees.
